LIWC Feature,Extraversion correlation,Agreeableness correlation,Conscientiousness correlation,Neuroticism correlation,Openness correlation,Extraversion p-value,Agreeableness p-value,Conscientiousness p-value,Neuroticism p-value,Openness p-value
achieve,0.14555985428089696,0.14555985428089696,0.14555985428089696,0.14555985428089696,0.14555985428089696,0.09844861719917669,0.09844861719917669,0.09844861719917669,0.09844861719917669,0.09844861719917669
adverb,-0.05967361613681735,-0.05967361613681735,-0.05967361613681735,-0.05967361613681735,-0.05967361613681735,0.5000481510218817,0.5000481510218817,0.5000481510218817,0.5000481510218817,0.5000481510218817
affect,0.2593107510000589,0.2593107510000589,0.2593107510000589,0.2593107510000589,0.2593107510000589,0.0028902480259116884,0.0028902480259116884,0.0028902480259116884,0.0028902480259116884,0.0028902480259116884
anger,-0.3924142967584138,-0.3924142967584138,-0.3924142967584138,-0.3924142967584138,-0.3924142967584138,3.882000000436341e-06,3.882000000436341e-06,3.882000000436341e-06,3.882000000436341e-06,3.882000000436341e-06
anx,-0.16333754386651175,-0.16333754386651175,-0.16333754386651175,-0.16333754386651175,-0.16333754386651175,0.06333416671675608,0.06333416671675608,0.06333416671675608,0.06333416671675608,0.06333416671675608
article,0.04222095966644845,0.04222095966644845,0.04222095966644845,0.04222095966644845,0.04222095966644845,0.6333931715564881,0.6333931715564881,0.6333931715564881,0.6333931715564881,0.6333931715564881
assent,-7.917679664426758e-18,-7.917679664426758e-18,-7.917679664426758e-18,-7.917679664426758e-18,-7.917679664426758e-18,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009,1.0000000000000009
auxverb,-0.06698558007241087,-0.06698558007241087,-0.06698558007241087,-0.06698558007241087,-0.06698558007241087,0.44891345576963115,0.44891345576963115,0.44891345576963115,0.44891345576963115,0.44891345576963115
bio,0.1689342924507813,0.1689342924507813,0.1689342924507813,0.1689342924507813,0.1689342924507813,0.05468414268601343,0.05468414268601343,0.05468414268601343,0.05468414268601343,0.05468414268601343
body,0.03746067392737835,0.03746067392737835,0.03746067392737835,0.03746067392737835,0.03746067392737835,0.6721925391054364,0.6721925391054364,0.6721925391054364,0.6721925391054364,0.6721925391054364
cause,0.18147630363063566,0.18147630363063566,0.18147630363063566,0.18147630363063566,0.18147630363063566,0.038795010735485774,0.038795010735485774,0.038795010735485774,0.038795010735485774,0.038795010735485774
certain,0.2536601853481268,0.2536601853481268,0.2536601853481268,0.2536601853481268,0.2536601853481268,0.003590973007441579,0.003590973007441579,0.003590973007441579,0.003590973007441579,0.003590973007441579
cogmech,0.1315422707273468,0.1315422707273468,0.1315422707273468,0.1315422707273468,0.1315422707273468,0.1357469820045413,0.1357469820045413,0.1357469820045413,0.1357469820045413,0.1357469820045413
conj,0.16180515632467052,0.16180515632467052,0.16180515632467052,0.16180515632467052,0.16180515632467052,0.06588820027801802,0.06588820027801802,0.06588820027801802,0.06588820027801802,0.06588820027801802
death,0.07943014707895385,0.07943014707895385,0.07943014707895385,0.07943014707895385,0.07943014707895385,0.3690168209350974,0.3690168209350974,0.3690168209350974,0.3690168209350974,0.3690168209350974
discrep,-0.2743708384446601,-0.2743708384446601,-0.2743708384446601,-0.2743708384446601,-0.2743708384446601,0.001583407918518872,0.001583407918518872,0.001583407918518872,0.001583407918518872,0.001583407918518872
excl,-0.09291720427242617,-0.09291720427242617,-0.09291720427242617,-0.09291720427242617,-0.09291720427242617,0.2930456739226869,0.2930456739226869,0.2930456739226869,0.2930456739226869,0.2930456739226869
family,-0.06563750051906053,-0.06563750051906053,-0.06563750051906053,-0.06563750051906053,-0.06563750051906053,0.4581144506848233,0.4581144506848233,0.4581144506848233,0.4581144506848233,0.4581144506848233
feel,0.06767823102354993,0.06767823102354993,0.06767823102354993,0.06767823102354993,0.06767823102354993,0.4442265378527647,0.4442265378527647,0.4442265378527647,0.4442265378527647,0.4442265378527647
filler,0.044444444444444474,0.044444444444444474,0.044444444444444474,0.044444444444444474,0.044444444444444474,0.6155981511686334,0.6155981511686334,0.6155981511686334,0.6155981511686334,0.6155981511686334
friend,0.1872833621460289,0.1872833621460289,0.1872833621460289,0.1872833621460289,0.1872833621460289,0.032871282734949284,0.032871282734949284,0.032871282734949284,0.032871282734949284,0.032871282734949284
funct,-0.10450666762425447,-0.10450666762425447,-0.10450666762425447,-0.10450666762425447,-0.10450666762425447,0.23669252805019556,0.23669252805019556,0.23669252805019556,0.23669252805019556,0.23669252805019556
future,-0.24530279086546436,-0.24530279086546436,-0.24530279086546436,-0.24530279086546436,-0.24530279086546436,0.004908446849057192,0.004908446849057192,0.004908446849057192,0.004908446849057192,0.004908446849057192
health,0.05705402035778639,0.05705402035778639,0.05705402035778639,0.05705402035778639,0.05705402035778639,0.5190836273925363,0.5190836273925363,0.5190836273925363,0.5190836273925363,0.5190836273925363
hear,-0.12318784838150233,-0.12318784838150233,-0.12318784838150233,-0.12318784838150233,-0.12318784838150233,0.16261921477166022,0.16261921477166022,0.16261921477166022,0.16261921477166022,0.16261921477166022
home,0.034165994425704595,0.034165994425704595,0.034165994425704595,0.034165994425704595,0.034165994425704595,0.699568800162557,0.699568800162557,0.699568800162557,0.699568800162557,0.699568800162557
humans,0.10723641158655076,0.10723641158655076,0.10723641158655076,0.10723641158655076,0.10723641158655076,0.22460282825625172,0.22460282825625172,0.22460282825625172,0.22460282825625172,0.22460282825625172
i,-0.3151139562243988,-0.3151139562243988,-0.3151139562243988,-0.3151139562243988,-0.3151139562243988,0.0002605753110806499,0.0002605753110806499,0.0002605753110806499,0.0002605753110806499,0.0002605753110806499
incl,0.3902895311968839,0.3902895311968839,0.3902895311968839,0.3902895311968839,0.3902895311968839,4.4238424367156235e-06,4.4238424367156235e-06,4.4238424367156235e-06,4.4238424367156235e-06,4.4238424367156235e-06
ingest,0.1682861780192455,0.1682861780192455,0.1682861780192455,0.1682861780192455,0.1682861780192455,0.05563307611364955,0.05563307611364955,0.05563307611364955,0.05563307611364955,0.05563307611364955
inhib,-0.20280342335067952,-0.20280342335067952,-0.20280342335067952,-0.20280342335067952,-0.20280342335067952,0.020663136848242506,0.020663136848242506,0.020663136848242506,0.020663136848242506,0.020663136848242506
insight,-0.23217099181211728,-0.23217099181211728,-0.23217099181211728,-0.23217099181211728,-0.23217099181211728,0.00786030083519418,0.00786030083519418,0.00786030083519418,0.00786030083519418,0.00786030083519418
ipron,-0.0140693876624207,-0.0140693876624207,-0.0140693876624207,-0.0140693876624207,-0.0140693876624207,0.8737679621904763,0.8737679621904763,0.8737679621904763,0.8737679621904763,0.8737679621904763
leisure,0.24797843665768196,0.24797843665768196,0.24797843665768196,0.24797843665768196,0.24797843665768196,0.004445973647375397,0.004445973647375397,0.004445973647375397,0.004445973647375397,0.004445973647375397
money,-0.051294751533060325,-0.051294751533060325,-0.051294751533060325,-0.051294751533060325,-0.051294751533060325,0.5621956543639813,0.5621956543639813,0.5621956543639813,0.5621956543639813,0.5621956543639813
motion,-0.009341466024821742,-0.009341466024821742,-0.009341466024821742,-0.009341466024821742,-0.009341466024821742,0.9159927883401126,0.9159927883401126,0.9159927883401126,0.9159927883401126,0.9159927883401126
negate,-0.1470429244187617,-0.1470429244187617,-0.1470429244187617,-0.1470429244187617,-0.1470429244187617,0.09502975912009584,0.09502975912009584,0.09502975912009584,0.09502975912009584,0.09502975912009584
negemo,-0.3279225407939409,-0.3279225407939409,-0.3279225407939409,-0.3279225407939409,-0.3279225407939409,0.00013972791623207944,0.00013972791623207944,0.00013972791623207944,0.00013972791623207944,0.00013972791623207944
nonfl,-0.048853196874603155,-0.048853196874603155,-0.048853196874603155,-0.048853196874603155,-0.048853196874603155,0.5809742804711757,0.5809742804711757,0.5809742804711757,0.5809742804711757,0.5809742804711757
number,0.08591087837096113,0.08591087837096113,0.08591087837096113,0.08591087837096113,0.08591087837096113,0.33111400904203303,0.33111400904203303,0.33111400904203303,0.33111400904203303,0.33111400904203303
past,0.03331994911381256,0.03331994911381256,0.03331994911381256,0.03331994911381256,0.03331994911381256,0.7066632528210632,0.7066632528210632,0.7066632528210632,0.7066632528210632,0.7066632528210632
percept,0.08059816482325438,0.08059816482325438,0.08059816482325438,0.08059816482325438,0.08059816482325438,0.36199559451851204,0.36199559451851204,0.36199559451851204,0.36199559451851204,0.36199559451851204
posemo,0.40002169362217166,0.40002169362217166,0.40002169362217166,0.40002169362217166,0.40002169362217166,2.4134550137108466e-06,2.4134550137108466e-06,2.4134550137108466e-06,2.4134550137108466e-06,2.4134550137108466e-06
ppron,-0.2517394129794442,-0.2517394129794442,-0.2517394129794442,-0.2517394129794442,-0.2517394129794442,0.0038618626903540176,0.0038618626903540176,0.0038618626903540176,0.0038618626903540176,0.0038618626903540176
preps,-0.067255208754098,-0.067255208754098,-0.067255208754098,-0.067255208754098,-0.067255208754098,0.4470856879680076,0.4470856879680076,0.4470856879680076,0.4470856879680076,0.4470856879680076
present,-0.13136240756537526,-0.13136240756537526,-0.13136240756537526,-0.13136240756537526,-0.13136240756537526,0.13628739287004077,0.13628739287004077,0.13628739287004077,0.13628739287004077,0.13628739287004077
pronoun,-0.20779571958250162,-0.20779571958250162,-0.20779571958250162,-0.20779571958250162,-0.20779571958250162,0.017677315809882486,0.017677315809882486,0.017677315809882486,0.017677315809882486,0.017677315809882486
quant,-0.11915250387111559,-0.11915250387111559,-0.11915250387111559,-0.11915250387111559,-0.11915250387111559,0.17693838171975187,0.17693838171975187,0.17693838171975187,0.17693838171975187,0.17693838171975187
relativ,-0.06730150928159274,-0.06730150928159274,-0.06730150928159274,-0.06730150928159274,-0.06730150928159274,0.446772245789066,0.446772245789066,0.446772245789066,0.446772245789066,0.446772245789066
relig,0.13858787168443712,0.13858787168443712,0.13858787168443712,0.13858787168443712,0.13858787168443712,0.11583889948212238,0.11583889948212238,0.11583889948212238,0.11583889948212238,0.11583889948212238
sad,-0.21507607310603416,-0.21507607310603416,-0.21507607310603416,-0.21507607310603416,-0.21507607310603416,0.013995048607584796,0.013995048607584796,0.013995048607584796,0.013995048607584796,0.013995048607584796
see,0.04419241236323568,0.04419241236323568,0.04419241236323568,0.04419241236323568,0.04419241236323568,0.6176042863863874,0.6176042863863874,0.6176042863863874,0.6176042863863874,0.6176042863863874
sexual,0.14592710135444484,0.14592710135444484,0.14592710135444484,0.14592710135444484,0.14592710135444484,0.09759310814915137,0.09759310814915137,0.09759310814915137,0.09759310814915137,0.09759310814915137
shehe,0.002992246661042865,0.002992246661042865,0.002992246661042865,0.002992246661042865,0.002992246661042865,0.9730466616847796,0.9730466616847796,0.9730466616847796,0.9730466616847796,0.9730466616847796
social,0.24974862826923216,0.24974862826923216,0.24974862826923216,0.24974862826923216,0.24974862826923216,0.004161852719712279,0.004161852719712279,0.004161852719712279,0.004161852719712279,0.004161852719712279
space,-0.08019255495135917,-0.08019255495135917,-0.08019255495135917,-0.08019255495135917,-0.08019255495135917,0.36442437752099877,0.36442437752099877,0.36442437752099877,0.36442437752099877,0.36442437752099877
tentat,-0.32315049734437595,-0.32315049734437595,-0.32315049734437595,-0.32315049734437595,-0.32315049734437595,0.00017681775496718746,0.00017681775496718746,0.00017681775496718746,0.00017681775496718746,0.00017681775496718746
they,0.07006991822494964,0.07006991822494964,0.07006991822494964,0.07006991822494964,0.07006991822494964,0.42825677483963986,0.42825677483963986,0.42825677483963986,0.42825677483963986,0.42825677483963986
time,-0.019677651553392902,-0.019677651553392902,-0.019677651553392902,-0.019677651553392902,-0.019677651553392902,0.82414702290139,0.82414702290139,0.82414702290139,0.82414702290139,0.82414702290139
verb,-0.09122562818779535,-0.09122562818779535,-0.09122562818779535,-0.09122562818779535,-0.09122562818779535,0.3019594287347866,0.3019594287347866,0.3019594287347866,0.3019594287347866,0.3019594287347866
we,0.20023146489536264,0.20023146489536264,0.20023146489536264,0.20023146489536264,0.20023146489536264,0.02236429578263762,0.02236429578263762,0.02236429578263762,0.02236429578263762,0.02236429578263762
work,-0.09173370972770924,-0.09173370972770924,-0.09173370972770924,-0.09173370972770924,-0.09173370972770924,0.29926355698002977,0.29926355698002977,0.29926355698002977,0.29926355698002977,0.29926355698002977
you,-0.024262285808558312,-0.024262285808558312,-0.024262285808558312,-0.024262285808558312,-0.024262285808558312,0.7840837082722134,0.7840837082722134,0.7840837082722134,0.7840837082722134,0.7840837082722134
